category,confidence,tier,team,original_text,star_rating,product_category
troubleshooting,0.3223,escalate,Tech Support,"Simple concept but hard to execute - This product is a great idea but can be a little finicky. If the adhesive holds, th",3,coffee_maker
product_question,0.7197,auto_route,Sales,Indistinguishable from Chemex filters. - Likes.<br />Same as the Chemex filter.<br /><br />Cons.<br />You need to fold t,5,coffee_maker
warranty_claim,0.3859,escalate,Warranty Ops,Drinkable but doesn't compare. - My wife wanted to try this using  her regular Dunkin Donuts grounds.<br /><br />Easy to,1,coffee_maker
product_question,0.4724,escalate,Sales,"Easier To Clean, Inside Smooth - I've used a few metal pour over drippers, this one by far is my favorite. The inside of",5,coffee_maker
warranty_claim,0.3706,escalate,Warranty Ops,"Coffee drip filters - You get 2 pcs and they work as I expected. They seem a bit flimsy, plastic, but they do what they ",5,coffee_maker
return_request,0.5961,flagged,Returns,Five Stars - Love it..getting rid of my coffee maker,5,coffee_maker
warranty_claim,0.4465,escalate,Warranty Ops,"Easy peasy to use AND clean. - My husband uses these. I broke it when cleaning so this was to replace it. Well, he says ",5,coffee_maker
product_question,0.3254,escalate,Sales,"Organic is important - I’ve only used this once. That said, it’s my first cloth nut bag. The others are all nylon. Becau",5,coffee_maker
product_question,0.3656,escalate,Sales,"Work Great! - I purchased these cause of the cost of the cups, they work great. I have been very happy so far just a lit",5,coffee_maker
warranty_claim,0.4254,escalate,Warranty Ops,Three Stars - The water seems to run through rather quickly causing the coffee to be weak.,3,coffee_maker
warranty_claim,0.3831,escalate,Warranty Ops,Leaks - [[VIDEOID:c349089b70f89e2d05ddd37f32f3fc27]] [[VIDEOID:ad5b0124e39c5b975584cfb8f82414e8]] [[VIDEOID:5985329f2c2a,1,coffee_maker
product_question,0.3748,escalate,Sales,Fit perfectly - Excellent product for my coffee maker. No complaints.,5,coffee_maker
product_question,0.412,escalate,Sales,Excellent product - Measure coffee,5,coffee_maker
warranty_claim,0.4786,escalate,Warranty Ops,Just like the original K-cups - Theses refillable K-Cups are exactly what I wanted. I couldn’t be happier with the quali,4,coffee_maker
return_request,0.4361,escalate,Returns,Excellent product - Since grinding coffee very fine; I find these little paper filters make sure I’m not drinking ground,5,coffee_maker
product_question,0.2962,escalate,Sales,Useful to rinse quinoa - Quinoa is too small to be rinsed in my other strainers. I use this to rinse quinoa. I wash in u,5,coffee_maker
product_question,0.6063,flagged,Sales,Work well in a Keurig - Bought these for our own use. They work well. Much cheaper to use these than to buy k-cups. Love,5,coffee_maker
product_question,0.3386,escalate,Sales,Love this little pitcher! - I love this little pitcher to froth my milk. It’s a perfect size. I bought the 20 ounce size,5,coffee_maker
return_request,0.4736,escalate,Returns,Great for recycling K cups - I love this. We use it daily to recycle our K cups. Have been giving them as gifts.,5,coffee_maker
product_question,0.3894,escalate,Sales,work great - These work great if you have a refillable that gets grounds in your cup.  But they're unnecessary if your r,5,coffee_maker
return_request,0.4065,escalate,Returns,a little too late - I personally don't drink coffee but my Mom has 2 of these that she used before I bought this order a,2,coffee_maker
return_request,0.5648,flagged,Returns,"No-nonsense single cup coffee maker... This one's for YOU! - This is perfect for you, if you're a single coffee drinker ",5,coffee_maker
product_question,0.5684,flagged,Sales,Good buy - Great filters,5,coffee_maker
return_request,0.4026,escalate,Returns,Great value - Great filters for a cheap price.  They work great and were easy to install.,5,coffee_maker
product_question,0.3482,escalate,Sales,Really nice you will want one - One day I was at a friends house and I saw this as he was making us some coffee. I asked,5,coffee_maker
warranty_claim,0.6311,flagged,Warranty Ops,Dead on arrival - Had to return it did not work,1,coffee_maker
return_request,0.4141,escalate,Returns,Works well - Very good,5,coffee_maker
warranty_claim,0.2915,escalate,Warranty Ops,very happy - can't live with out these,5,coffee_maker
product_question,0.3925,escalate,Sales,"Great filters for perked coffee on stove top, countertop, perculators or coffee machines. - Great little filters, no mor",5,coffee_maker
product_question,0.2866,escalate,Sales,Great filters for all perked coffee machines... - Love these circular little filters. They fit perfectly in the basket a,5,coffee_maker
product_question,0.3491,escalate,Sales,Five Stars - Terrific little frothing cup!,5,coffee_maker
return_request,0.4219,escalate,Returns,"BUNN 1M5002 Commercial Coffee Filters, - great commercial filter can no longer get these in my area.",5,coffee_maker
product_question,0.3923,escalate,Sales,Fantastic! - Works perfectly! I'm able to use my own coffee and couldn't be happier.,5,coffee_maker
product_question,0.4838,escalate,Sales,"Great value - Cleans up well, lightweight, dishwasher safe.",5,coffee_maker
troubleshooting,0.3481,escalate,Tech Support,At last a filter that lets no grounds out - I have a 12 cup Proctor Silex coffee maker that I love.  Only problem is no ,5,coffee_maker
product_question,0.411,escalate,Sales,Five Stars - good things,5,coffee_maker
product_question,0.5226,flagged,Sales,Works as advertised - Works well,5,coffee_maker
product_question,0.514,flagged,Sales,Love - Great price works perfect  for keruig  coffee maker.,5,coffee_maker
product_question,0.3832,escalate,Sales,"Like - Great price, good bang for your buck.",5,coffee_maker
warranty_claim,0.3374,escalate,Warranty Ops,Not great - Coffee pods fit good and no mess but can’t fit much in them and coffee taste weak you might need a stronger ,1,coffee_maker
troubleshooting,0.5245,flagged,Tech Support,Just as good as other major brands ! - [[VIDEOID:4ad88288ecadf4922f6c4df1cf86656b]] I totally forgot my Keurig machine h,5,coffee_maker
product_question,0.3238,escalate,Sales,"Works perfectly to keep grinds out of your cup - These work perfectly for grinding my own beans for my Keurig. Finally, ",5,coffee_maker
warranty_claim,0.3937,escalate,Warranty Ops,They allow coffee grinds into the cup no matter what type of grind I use. - Allows grounds and ‘silt’ into my coffee. Al,1,coffee_maker
return_request,0.314,escalate,Returns,"Work great and last a long time. - They are an exact replacement for my older keurig pods. Inexpensive, but last a prett",5,coffee_maker
troubleshooting,0.4366,escalate,Tech Support,Be careful:  you can lose the valve! - Today I am buying a second one of these because the valve in the first one got lo,5,blender
troubleshooting,0.4616,escalate,Tech Support,Awsome - New filters kept me from having to purchase a new vacuum.  The suction is back and cleans better than ever.,4,vacuum
return_request,0.3366,escalate,Returns,"Great! - Wow! Humidifier filters! These changes my life in so many ways and chicks dig them. Seriously, they do what the",5,vacuum
product_question,0.6827,auto_route,Sales,Works great! Used on over the range microwave. - Worked perfectly.  Bought an anchor suitable for sheetrock and the weig,5,air_fryer
troubleshooting,0.5869,flagged,Tech Support,Fast cooking but lots to learn. - I was so excited to receive this product.  I had been dreaming of an induction range f,1,air_fryer
troubleshooting,0.2735,escalate,Tech Support,They fit on my humidifiers - They’re just packs of the right size wicks you just swap them out monthly they seem to work,5,vacuum
troubleshooting,0.7971,auto_route,Tech Support,A must - My dryer stopped drying clothes and I noticed that the vent was clogged.  A company I called wanted to charge 2,5,vacuum
troubleshooting,0.5251,flagged,Tech Support,"Does what it's supposed to do, but... - ...but it makes a dreadful unholy whisling noise which makes it very difficult t",3,vacuum
warranty_claim,0.5129,flagged,Warranty Ops,Decent replacement - Lighter and thinner fabric than the OEM bag and the fit to the blower is very tight.<br />Despite t,4,vacuum
troubleshooting,0.2693,escalate,Tech Support,Like - Like,5,vacuum
product_question,0.3882,escalate,Sales,"Near exact. - This is pretty much a perfect, exact replica of the filters I usually use for my Rigid ""tool box"" shop vaa",5,vacuum
return_request,0.3868,escalate,Returns,"Looks nice, but poor build quality and reliability - I had high hopes for this ice maker since it makes ice differently ",2,blender
return_request,0.3141,escalate,Returns,"Easy to use - This was the best thing  I bought myself to use, it’s fast nd easy",5,vacuum
product_question,0.3715,escalate,Sales,Great ice. - I was a little unsure about a countertop ice machine especially at such a reasonable price.  I didn’t need ,5,blender
troubleshooting,0.4866,escalate,Tech Support,"Induction with a 30"" oven with Air Fry!  Great value.  Loving it more each week. - Had a Maytag five burner which was a ",5,air_fryer
product_question,0.4194,escalate,Sales,"Awesome - One of my best purchases, I love chewing ice, and this way it won’t brake my teeth!!",5,vacuum
warranty_claim,0.3236,escalate,Warranty Ops,which ice cubes was seperated - the cubes stay stuck together so you have to break them apart it would be better if they,5,blender
return_request,0.3118,escalate,Returns,Absolutely love this thing!! - Best ice ever!! Price is steep but worth it!! Produces a lot of ice.,5,vacuum
troubleshooting,0.6562,auto_route,Tech Support,"Made in China, but so is just about everything else. - I used this to repair my Kitchen Aid stand mixer.  It works, but ",4,blender
warranty_claim,0.5191,flagged,Warranty Ops,2 MACHINES BROKE IN 1 YEAR - OPAL will make you jump through a dozen hoops before they will replace under the warranty a,1,vacuum
return_request,0.3642,escalate,Returns,Good - Works good,5,vacuum
warranty_claim,0.4679,escalate,Warranty Ops,Flimsy - The flaps are super flimsy. They’re held into the main body by one microscopic pin on either side. You have to ,1,vacuum
product_question,0.3679,escalate,Sales,Good tools to have if you want keep your home safe. - Good tools to have if you want keep your home safe.,4,vacuum
product_question,0.3554,escalate,Sales,"Does the job. - I get the tools to clean, what a bargain.",5,vacuum
troubleshooting,0.4238,escalate,Tech Support,Good Fit - Fit nice and no issues in my LG refrigerator. Made in Korea which is where the OEM filter is made.,4,vacuum
return_request,0.2845,escalate,Returns,"I just can't really say I'm crazy about these towels. - These are a nice, rich dark green color but I can't quite get us",3,vacuum
return_request,0.3916,escalate,Returns,They’re perfect & shiny! - Replaced these on my stove and it looks brand new once again. Great deal!,5,air_fryer
warranty_claim,0.462,escalate,Warranty Ops,"Inferior product - The bonding between the metal and the plastic is faulty, both gears failed during first use.  Order O",1,blender
troubleshooting,0.3379,escalate,Tech Support,Nice replacement hoses. - These fit perfectly and look to be very well made.,5,blender
troubleshooting,0.713,auto_route,Tech Support,Save repair costs! - Bought one to prevent problems. Bought another because my son’s dryer wasn’t heating. The problem? ,5,vacuum
product_question,0.5644,flagged,Sales,"Exactly As Advertised - These are exactly what you get from the store, or what you would receive from Bunn company direc",5,blender
product_question,0.3529,escalate,Sales,Good product - Was easy to put in and light is very broght,5,vacuum
product_question,0.64,flagged,Sales,Multiple uses for this tool! - Lightweight plastic tool provides multiple options for use. I use for cleaning under seat,5,vacuum
return_request,0.4417,escalate,Returns,Overpriced piece of plastic - Overpriced piece of plastic,1,vacuum
product_question,0.3181,escalate,Sales,JUST Fit into Dryer - Dryer lint vents are VERY NARROW.  This did Just fit into the dryer Lint vent.  So it does work.,4,vacuum
troubleshooting,0.464,escalate,Tech Support,Range hood - This hood looks great.  I didn't think to order te filters until I received the hood.  It appears to work f,5,vacuum
product_question,0.2979,escalate,Sales,"Very glad to be able to use it again - Fits my 9 speed Kitchenaid hand mixer, perfectly. Very glad to be able to use it ",5,blender
troubleshooting,0.328,escalate,Tech Support,Works as advertised - I am very pleased with this purchase. I can't believe it took me this long to buy one of these. I ,5,vacuum
product_question,0.3587,escalate,Sales,Clean fresh ice ! - Ooh this is everything. I have the Berkey Water purifier; I love it and wanted my ice to taste just ,5,blender
return_request,0.3793,escalate,Returns,Stick with the more expensive filters! - I received these inexpensive filters within the proposed delivery timeline.  Ho,2,vacuum
warranty_claim,0.4211,escalate,Warranty Ops,W we irked for me - Fit my Toro ultra blower vac 108-8987. Might be a tiny bit smaller than the original but I can’t be ,5,vacuum
troubleshooting,0.3571,escalate,Tech Support,Basically a glorified piece of tubing that sucks out massive amounts of crap - Sucked out gigantic bits of lint goo  in ,5,vacuum
troubleshooting,0.6504,auto_route,Tech Support,If you have a dryer you need to perform this maintenance - Between my kids' homes and ours we are sure this save us from,5,vacuum
product_question,0.3821,escalate,Sales,"Easy to install and use, recycles ice melt - Makes nice party ice, not what I would use for an ""on the rocks"" but great ",5,vacuum
return_request,0.3944,escalate,Returns,"Great product - Used right away. Sturdy, easy to use. Great value and quality",5,vacuum
return_request,0.3675,escalate,Returns,The best. - My only regret is that we didn’t buy it years ago.  We love it.,5,vacuum
troubleshooting,0.2851,escalate,Tech Support,These look just like the original beaters - These look just like the original beaters. Really like the little Kitchenaid,5,blender
troubleshooting,0.3007,escalate,Tech Support,fits my vac - They do fit my filter on my vacuum cleaner. They are tight to put on though,4,vacuum
troubleshooting,0.5848,flagged,Tech Support,Fixed for less than the cost of a service call. - Easy fix. Perfect fit. Priced right. Now have plenty of ice.,5,air_fryer
troubleshooting,0.5451,flagged,Tech Support,"Best kept secret - This thing doesn't look like much, but boy it's a lot!  I was struggling with a lot of lint buildup, ",5,vacuum
product_question,0.3075,escalate,Sales,Great quality for the cost - I had an H2P unit installed in our bedroom and it came with pathetic venting. The rain and ,5,vacuum
product_question,0.3629,escalate,Sales,No more filters or inversion required - I never liked the inverted method of brewing. The idea of the hot water sitting ,5,blender
warranty_claim,0.3077,escalate,Warranty Ops,Shark model NV 360 - These filters fit my vacuum perfectly. I have a Shark NV 360. The package it came in didn't say NV ,5,vacuum
troubleshooting,0.3195,escalate,Tech Support,"Great and cheap, no wonder local mom and pops are going out of business - Last time I bought one of these was from a loc",5,vacuum
warranty_claim,0.6249,flagged,Warranty Ops,If you have rubber lines you are just asking for a flood at some point - good quality,4,blender
return_request,0.3579,escalate,Returns,Works great. - Works great.,5,blender
return_request,0.3073,escalate,Returns,these work good - These work just fine as a less expensive replacement...no complaints from me.,5,vacuum
warranty_claim,0.5523,flagged,Warranty Ops,"perfect replacement - I use ice all the time, mine broke after seven years, this was a perfect replacement.  10 minute i",4,vacuum
return_request,0.3949,escalate,Returns,Five Stars - Works great!,5,vacuum
product_question,0.396,escalate,Sales,Five Stars - good product,5,vacuum
troubleshooting,0.2989,escalate,Tech Support,best exhaust fan ever - This Broan SS range hood was easy to install and works quietly and draws  the heat and fumes fro,5,vacuum
return_request,0.5706,flagged,Returns,Made an enormous mess - I sent this back because the water canister leaked terribly all over my kitchen multiple times. ,3,vacuum
product_question,0.4696,escalate,Sales,Works just like the original - These fit fine and seem just like the original ones.,5,vacuum
troubleshooting,0.5532,flagged,Tech Support,Worked very well... cleaned years of grease ... - Worked very well ... cleaned years of grease and dust buildup on my re,5,vacuum
warranty_claim,0.3539,escalate,Warranty Ops,"Great price and a great item, glad I bought them! - Great quality, gives peace of mind to not have to worry about a hose",4,blender
return_request,0.5181,flagged,Returns,Great product at an astounding price! - One of the best values we have found for our home!,5,air_fryer
troubleshooting,0.3241,escalate,Tech Support,"Finally - Very useful.  easy to install,",4,vacuum
troubleshooting,0.3725,escalate,Tech Support,"Does what it's supposed to - Overall, OK.  It does what it's supposed to.  It did have a very loud whine to it when I fi",4,vacuum
product_question,0.3106,escalate,Sales,Even better coffee - I love my Aeropress but this made the coffee even smoother.,5,blender
troubleshooting,0.4183,escalate,Tech Support,"Five Stars - The universal valve is great, works great.",5,vacuum
troubleshooting,0.7047,auto_route,Tech Support,LG Refrigerator basic maintenance part. Good price. Good quality. - This filter fit perfectly and was easy to swap into ,5,vacuum
troubleshooting,0.74,auto_route,Tech Support,Fixed fluctuating speed issue on my Vitamix - [[VIDEOID:cf54c8571294d40d6f53b0cea4ffdc44]] I was given a Vitamix from a ,5,blender
product_question,0.313,escalate,Sales,"Worthwhile, though a bit pricey. - This is an interesting gadget.  It allows you to not have to use inverted method to k",4,blender
product_question,0.3909,escalate,Sales,Perfect Ice All The Time!!! - I can not tell you how much I love my ice maker....perfect ice whenever I want it.  Having,5,vacuum
product_question,0.5001,flagged,Sales,Fits and works well - Fit and works well,5,vacuum
warranty_claim,0.4116,escalate,Warranty Ops,"this one actually tastes like the OEM LG one - After trying a few other 3rd party filters, this one actually tastes like",5,vacuum
warranty_claim,0.4411,escalate,Warranty Ops,"Perfect replacement - Making ice again, for now.  I have a feeling these are disposable and will replace often...",5,air_fryer
product_question,0.3748,escalate,Sales,Washing Machine Hoses - These quality hoses allowed me to move the washing machine closer to the wall thanks to the 90-d,5,blender
product_question,0.4598,escalate,Sales,Works just as advertised - Connected  hot and cold water spigots in my basement and it works perfectly.,5,blender
product_question,0.2889,escalate,Sales,Incredible range that does it all! - So far this is a perfect oven for us. Everything works flawlessly.  The induction c,5,air_fryer
warranty_claim,0.3165,escalate,Warranty Ops,"Older First Build version has been good, but loud - I bought the older First Build version, and I love the ICE, and the ",4,vacuum
return_request,0.337,escalate,Returns,they work - happy,5,blender
product_question,0.3762,escalate,Sales,good - seams good,5,vacuum
return_request,0.389,escalate,Returns,Four Stars - worked well!,4,vacuum
troubleshooting,0.5032,flagged,Tech Support,"dryer vent wand - worked very well, but I also had short vent route only needed 1 rod",5,vacuum
product_question,0.5133,flagged,Sales,Has a HUGE Safety Issue-Potential Gas Leak - I bought this gas stove less than 5 mo. ago and have run into a very seriou,1,air_fryer
return_request,0.3342,escalate,Returns,Great - I like this product keeps lint cleaned out just wish was a lil thinner,5,vacuum
warranty_claim,0.5135,flagged,Warranty Ops,Great official replacement - Does the job after we accidentally threw out the original!,5,blender
product_question,0.4202,escalate,Sales,"VERY NICE, WOULD BUY AGAIN - bought this for new range / under-cabinet, no-vent install. took ~10 minutes to install and",5,vacuum
product_question,0.4125,escalate,Sales,Maybe your best option - Best water filter I could find and not made in China.,5,vacuum
return_request,0.3334,escalate,Returns,"Great accessory, would buy again - This filter is a great accessory for the Aeropress.  It attaches very snugly, stays a",5,blender
warranty_claim,0.3672,escalate,Warranty Ops,Very nice looking hood - Very nice looking hood. Good function with both fan & lights. Put in LED lights & and they're w,4,vacuum
product_question,0.3311,escalate,Sales,"Great ovens, user interface a bit confusing... - ...and awkward by comparison with our old GE oven stack. For instance, ",4,air_fryer
troubleshooting,0.4053,escalate,Tech Support,"Workhorse - Makes more ice than we can use, this is a good problem to have",5,vacuum
product_question,0.4351,escalate,Sales,Does what it says - I don't know how much I'll use this. Nice for car cleaning.,4,vacuum
troubleshooting,0.3797,escalate,Tech Support,Great range hood!! - Great range hood! Intallation required a little extra iniiative.My cabinets have a recess underneat,4,vacuum
product_question,0.6609,auto_route,Sales,Five Stars - Perfect fit and works well,5,vacuum
troubleshooting,0.4874,escalate,Tech Support,"Finally! - I was struggling to get my dryer vent trap totally clean, even with my vacuum. I love the idea that this atta",5,vacuum
warranty_claim,0.4617,escalate,Warranty Ops,"A Little Too Small - I’m a little disappointed in this replacement, as it fits just a little too tightly onto the Aeropr",3,blender
troubleshooting,0.4411,escalate,Tech Support,The parts don't fit together! - The funnel looking thing (the adapter) is supposed to fit on the hose (see diagram where,1,vacuum
troubleshooting,0.5614,flagged,Tech Support,"Great ice, but product problems are significant - I love the pearl ice this machine delivers....just like Sonic.  I purc",5,vacuum
troubleshooting,0.4277,escalate,Tech Support,"Big problems, but makes great ice - [[VIDEOID:691c754c7b664c6c99fdabc5f8e7e04b]] The reviews were all positive on this i",2,vacuum
product_question,0.4091,escalate,Sales,Great for cleaning lint from hard to reach places in the dryer - Works just as advertised,5,vacuum
product_question,0.4277,escalate,Sales,"Looks Great - Just remodeled the kitchen and needed a ductless range hood this fits the bill nicely. It looks great, put",5,vacuum
troubleshooting,0.4821,escalate,Tech Support,Easy change with hand tools and only takes a few ... - If you own a washing machine with rubber hoses and you came acros,5,blender
warranty_claim,0.2717,escalate,Warranty Ops,B+ - Overall a very nice unit. Looks sleek and produces ice very well. The one down side is the ice itself. It produces ,4,vacuum
warranty_claim,0.6709,auto_route,Warranty Ops,"Not as represented - These foam filters are said to replace the 90585 type R foam filter for shop vac. Wrong, clearly mi",1,vacuum
troubleshooting,0.3468,escalate,Tech Support,more great hoses - got these to replace my regular washing machine hoses. these are very sturdy and great looking. got t,5,blender
troubleshooting,0.4202,escalate,Tech Support,Broan Hood - This is a very nice looking hood. It seems to be made well and is extremely quit. Two issues the light bulb,4,vacuum
troubleshooting,0.8015,auto_route,Tech Support,Fixed my humidifier to furnace - Work great so far after being installed for a month.  I wish the wires on the solenoid ,4,vacuum
return_request,0.3509,escalate,Returns,great price - loveing them,5,air_fryer
troubleshooting,0.7288,auto_route,Tech Support,vacuum hose attachment is useless - The vacuum hose attachment arrived folded to fit in the box.  This is not flexible p,1,vacuum
product_question,0.5573,flagged,Sales,"Works well - Fit well,works great",4,vacuum
warranty_claim,0.6756,auto_route,Warranty Ops,Poor design - Everything gets stuck in the tube. Wouldn't waste my money.,2,vacuum
warranty_claim,0.6327,flagged,Warranty Ops,Pure garbage - This is a piece of junk. Very THIN plastic. Arrived broken. Please please don’t buy,1,vacuum
warranty_claim,0.4615,escalate,Warranty Ops,"USELESS GARBAGE:  Way too stiff / unflexible. Won't go around even one right angle (90 degree turn), and only 10 feet. -",1,vacuum
troubleshooting,0.7252,auto_route,Tech Support,"Excellent buy for authentic replacement - After 12 yrs, my Maytag oven bottom element went out. I'd already replaced the",5,air_fryer
product_question,0.3625,escalate,Sales,"Good filter - This definitely helps keep construction dust out of the air. We've been remodelling and the plaster dust, ",5,vacuum
warranty_claim,0.3529,escalate,Warranty Ops,Works as described - Works as described.  The lint filled up at least half my vacuum canister and that doesn't include t,5,vacuum
product_question,0.4133,escalate,Sales,"Easy install - I bought this unit to replace a 1970's magic chef 24"" wall oven.  Easy install. The new unit is about 2"" ",5,air_fryer
warranty_claim,0.4427,escalate,Warranty Ops,Our new house had a cheap range hood that did ... - Our new house had a cheap range hood that did not vent outside.  I h,5,vacuum
troubleshooting,0.743,auto_route,Tech Support,Fixed my problem at a fraction of the Maytag price - Cold water fill had always been slow on our washing machine (came w,5,vacuum
return_request,0.3807,escalate,Returns,Four Stars - So far so good. Easy installation and looked exactly like the original.,5,air_fryer
product_question,0.4134,escalate,Sales,Great - This worked great in my front load dryer!,5,vacuum
warranty_claim,0.5941,flagged,Warranty Ops,Got moldy a little quicker than I expected. You ... - Got moldy a little quicker than I expected. You get what you pay f,3,vacuum
troubleshooting,0.3535,escalate,Tech Support,Looks better but isn't all that fabulous - The shell is beautiful when installed in kitchen. Still a hollow soup can in ,4,vacuum
troubleshooting,0.3524,escalate,Tech Support,Next generation stove. - We decided to replace our 25+ year old Magic chef Oven/Microwave/stove vent with an new one aft,5,air_fryer
troubleshooting,0.4018,escalate,Tech Support,"Glad I got it - I clean my filter with every load I dry. Despite that, I got a big chunk of lint out of my dryer using t",5,vacuum
product_question,0.3694,escalate,Sales,The good ice - Love this!! It makes the best ice.,5,vacuum
product_question,0.4764,escalate,Sales,Works as described at a great price - Does what is was made to do and is a great price,5,vacuum
return_request,0.3281,escalate,Returns,satisfaction - Very good,5,vacuum
return_request,0.3759,escalate,Returns,Four Stars - good,4,vacuum
product_question,0.3856,escalate,Sales,Good price - Good price...easy to use,5,vacuum
troubleshooting,0.4258,escalate,Tech Support,Researched for 6 months and chose to get the GE. Here are my thoughts. - On GE's implementation of induction:<br /><br /,5,air_fryer
warranty_claim,0.6415,flagged,Warranty Ops,STAY AWAY FROM SAMSUNG RANGES - I owned this Range a mere four months and the finish on the cooktop is peeling off.  I f,1,air_fryer
warranty_claim,0.3979,escalate,Warranty Ops,Do you have to be very careful when you use this - The rods spin  you have to go very slow with your drill. Better use f,3,vacuum
product_question,0.3343,escalate,Sales,Five Stars - Came on time and as advertised.,5,vacuum
warranty_claim,0.5049,flagged,Warranty Ops,"30"" Stainless Range Hood - Awesome! Since this was a replacement for my ugly white hood, installation was very easy. Be ",5,vacuum
warranty_claim,0.6356,flagged,Warranty Ops,"Seller dropping the ball on packaging for delivery! - The seller packaged this product into a plastic mailing envelope, ",1,vacuum
warranty_claim,0.4405,escalate,Warranty Ops,Samsung Gas Range Burner Knob Set of 5 - I received this product in exchange for my honest review as part of the Amazon ,5,air_fryer
warranty_claim,0.3416,escalate,Warranty Ops,no coffee ground spill overs - Good quality no coffee ground still overs into your coffee!! Love the Bunn coffee maker c,5,blender
product_question,0.361,escalate,Sales,"Trash - Do not buy.  I bought one and about 6 mo after purchasing it, the buttons stopped working.  It also never fully ",1,blender
product_question,0.3403,escalate,Sales,Amazing tool - I bought this for use with my small handyman business. Works incredibly well.,5,vacuum
troubleshooting,0.6457,flagged,Tech Support,"Maytag no longer equals quality. - Less than 4 years old and the touchpad died.  Used maybe once a week.  $150 part, plu",1,blender
product_question,0.4002,escalate,Sales,"Five Stars - Great, no issues fits perfect",5,vacuum
return_request,0.3255,escalate,Returns,Five Stars - Just what I needed at a good price and great delivery.,5,vacuum
product_question,0.6836,auto_route,Sales,"No me encanto - Lo compré porque vi un review de que funcionaba muy bien pero realmente no me encanto, esperaba más para",5,vacuum
product_question,0.4159,escalate,Sales,Easy to install - Fit over my stove perfectly. Easy to install. Works great,5,vacuum
troubleshooting,0.4403,escalate,Tech Support,Five Stars - My vitamix works like new!,5,blender
return_request,0.3207,escalate,Returns,The best - Cannot find a better unit at a better price anywhere. Quick delivery.,5,air_fryer
product_question,0.328,escalate,Sales,Anoter 5-Star review - fits like a glove. - Another 5-star review.  I have a Shark N356Q vacuum that was about 2 or 3 ye,5,vacuum
return_request,0.6057,flagged,Returns,"Safety hazard! - Very-very-very sharp edges!<br />Do not install lower environment,if you have kids!<br />Return.",1,vacuum
product_question,0.4095,escalate,Sales,Five Stars - Very good buy.,5,blender
troubleshooting,0.4672,escalate,Tech Support,Perfect solution. - Fit perfectly and was much cheaper than replacing the whole mixer. Perfect solution.,5,blender
product_question,0.3858,escalate,Sales,Best of the Best!! - Can't tell all how awesome this machine really is. Best $900 I've spent in a long time. Medal handl,5,air_fryer
troubleshooting,0.2751,escalate,Tech Support,"Best I ever Got - I am so glad I got this , I used it on my dryer Vent and I got so much lint out , I still have to use ",5,vacuum
product_question,0.3674,escalate,Sales,Absolute best buy! Perfect nugget ice! - I've had this for few months and it's been the best purchase I've made in awhil,5,vacuum
warranty_claim,0.6933,auto_route,Warranty Ops,Return - Arrived with shattered door. Returned.,1,air_fryer
product_question,0.4013,escalate,Sales,Good Product - Works as expected.,5,blender
return_request,0.3804,escalate,Returns,Five Stars - Great quality.,5,blender
warranty_claim,0.5223,flagged,Warranty Ops,Do not buy if you like quiet & warranty repair can only say sorry... - [[VIDEOID:4c9d5a0067d3ec4238d3e1729535c41f]] if y,1,vacuum
troubleshooting,0.5225,flagged,Tech Support,"Four Stars - Works fine in our humidifier, it is a filter.......",4,vacuum
troubleshooting,0.5604,flagged,Tech Support,"Excellent quality and a reasonable price - My 25 foot dryer vent hadn't been clean in 17 years. This thing worked great,",5,vacuum
troubleshooting,0.2806,escalate,Tech Support,High quality hose. - Very high quality! Nothing negative to say about this home. It operates and looks great on my new L,5,blender
return_request,0.3658,escalate,Returns,"Works great - Cleaned out my dryer line, works great.  Major lint build up removed.",5,vacuum
product_question,0.3662,escalate,Sales,Dryer Vet cleaner - Work great,5,vacuum
return_request,0.3765,escalate,Returns,Good value for money - The filter fits and does its job. It is definitely thinner than the original but I feel like for ,4,vacuum
warranty_claim,0.3499,escalate,Warranty Ops,This was supposed to be good condition - This was the 2nd one I ordered. First was new and was great. I bought the secon,1,vacuum
warranty_claim,0.7259,auto_route,Warranty Ops,the rubber part falls apart - the rubber part crecked apart not a good product,1,vacuum
warranty_claim,0.3827,escalate,Warranty Ops,I wanted to like it but the flaking paint issue has bitten me twice! - I've been through at least two of these in the la,2,vacuum
return_request,0.3522,escalate,Returns,Bunn you can't go wrong - These are always easy to use and the price it right.,5,blender
product_question,0.3273,escalate,Sales,Frigid ice maker - Easy to use. Seems to be working really good. Makes ice just like it says it does.,5,blender
warranty_claim,0.2898,escalate,Warranty Ops,Very pleased - It holds true to its description!,5,blender
return_request,0.3454,escalate,Returns,Great - Great,4,vacuum
return_request,0.3627,escalate,Returns,Very Good Washing Machine Hoses - These were by far the best price on stainless steel washing machine hoses I could find,5,blender
product_question,0.323,escalate,Sales,Best gift I've ever received - I am pregnant & was making daily trips to Sonic or Chick-Fil-A for 'good ice'. Enter this,5,vacuum
warranty_claim,0.5834,flagged,Warranty Ops,Broke after seven months - Product worked great for about 7 months then started leaking. You can see the photos of the p,1,vacuum
return_request,0.3419,escalate,Returns,lo mejor de lo mejor ante y un después de mi sazón la amo,5,vacuum
troubleshooting,0.6905,auto_route,Tech Support,"My wife loved her Dyson V11 Torque Drive Cordless Vacuum; I thought it was flawed and overpriced, but neither of these i",1,vacuum
